Scribe County Public Library,,,,
Title,Author,Publisher,Genre,Status
Books,,,,
Young Children's,,,,
The Very Hungry Caterpillar,Eric Carle,World Publishing Company,Picture,Available
Hop on Pop,Dr. Seuss,Random House,Picture,Checked Out
The Lorax,Dr. Seuss,Random House,Picture,Overdue
The Book With No Pictures,B.J. Novak,Dial Books,Picture,Available
Don't Let the Pigeon Drive the Bus!,Mo Willems,Disney Hyperion,Picture,Available
I Spy: Spooky Night,"Jean Marzollo, Walter Wick",Scholastic,Activity,Checked Out
I Spy: Mystery,"Jean Marzollo, Walter Wick",Scholastic,Activity,Checked Out
I Spy: Treasure Hunt,"Jean Marzollo, Walter Wick",Scholastic,Activity,Overdue
Can You See What I See?,Walter Wick,Scholastic,Activity,Overdue
Can You See What I See? Dream Machine,Walter Wick,Scholastic,Activity,Available
Middle Grade,,,,
The Lightning Thief,Rick Riordan,Disney Hyperion,Fantasy,Available
The Titan's Curse,Rick Riordan,Disney Hyperion,Fantasy,Available
The Battle of the Labyrinth,Rick Riordan,Disney Hyperion,Fantasy,Checked Out
The Last Olympian,Rick Riordan,Disney Hyperion,Fantasy,Checked Out
Harry Potter and the Sorcerer's Stone,J. K. Rowling,Scholastic,Fantasy,Checked Out
Harry Potter and the Chamber of Secrets,J. K. Rowling,Scholastic,Fantasy,Overdue
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,Scholastic,Fantasy,Overdue
Gregor the Overlander,Suzanne Collins,Scholastic,Fantasy,Overdue
The Name of This Book Is Secret,Pseudonymus Bosch,"Little, Brown",Fantasy,Available
The Bad Beginning,Lemony Snicket,HarperCollins,Gothic Fiction,Available
Young Adult,,,,
The Hunger Games,Suzanne Collins,Scholastic,Dystopian,Available
Catching Fire,Suzanne Collins,Scholastic,Dystopian,Available
Mockingjay,Suzanne Collins,Scholastic,Dystopian,Checked Out
The Lost Hero,Rick Riordan,Disney Hyperion,Fantasy,Checked Out
The Son of Neptune,Rick Riordan,Disney Hyperion,Fantasy,Checked Out
The Mark of Athena,Rick Riordan,Disney Hyperion,Fantasy,Checked Out
